index,image,latitude,longitude,country
0,streetview0_180.jpg,48.837,2.302,France
1,streetview1_270.jpg,48.8387,2.4084,France
2,streetview2_90.jpg,48.8334,2.3542,France
3,streetview3_90.jpg,48.8777,2.4088,France
4,streetview4_0.jpg,48.8848,2.3779,France
5,streetview5_0.jpg,48.8718,2.3851,France
6,streetview6_270.jpg,48.8205,2.3383,France
7,streetview7_180.jpg,48.8312,2.4017,France
8,streetview8_180.jpg,48.8426,2.3719,France
9,streetview9_90.jpg,48.8772,2.2803,France
10,streetview10_180.jpg,48.8494,2.3455,France
11,streetview11_270.jpg,48.8316,2.3045,France
12,streetview12_0.jpg,48.8675,2.292,France
13,streetview13_90.jpg,48.8839,2.3555,France
14,streetview14_270.jpg,48.8335,2.3237,France
15,streetview15_180.jpg,48.8541,2.271,France
16,streetview16_0.jpg,48.8326,2.3197,France
17,streetview17_0.jpg,48.8384,2.2556,France
18,streetview18_270.jpg,48.861,2.3533,France
19,streetview19_180.jpg,48.8474,2.3069,France
20,streetview20_180.jpg,48.862,2.2832,France
21,streetview21_270.jpg,48.8575,2.3997,France
22,streetview22_90.jpg,48.8537,2.4071,France
23,streetview23_180.jpg,48.9003,2.3223,France
24,streetview24_0.jpg,48.831,2.3551,France
25,streetview25_270.jpg,48.8562,2.4088,France
26,streetview26_90.jpg,48.8835,2.3422,France
27,streetview27_90.jpg,48.8374,2.4126,France
28,streetview28_0.jpg,48.8847,2.3466,France
29,streetview29_180.jpg,48.8894,2.3782,France
30,streetview30_270.jpg,48.845,2.3107,France
31,streetview31_0.jpg,48.8733,2.2852,France
32,streetview32_90.jpg,48.8461,2.3823,France
33,streetview33_180.jpg,48.8224,2.3254,France
34,streetview34_0.jpg,48.8502,2.2679,France
35,streetview35_0.jpg,48.8698,2.3002,France
36,streetview36_0.jpg,48.8812,2.2944,France
37,streetview37_270.jpg,48.865,2.4139,France
38,streetview38_270.jpg,48.8575,2.3103,France
39,streetview39_90.jpg,48.8467,2.3956,France
40,streetview40_0.jpg,48.8327,2.3898,France
41,streetview41_180.jpg,48.8659,2.2908,France
42,streetview42_0.jpg,48.8952,2.3622,France
43,streetview43_0.jpg,48.8368,2.3782,France
44,streetview44_90.jpg,48.8648,2.3146,France
45,streetview45_270.jpg,48.8496,2.2958,France
46,streetview46_270.jpg,48.8623,2.3423,France
47,streetview47_0.jpg,48.8441,2.3077,France
48,streetview48_180.jpg,48.8682,2.291,France
49,streetview49_180.jpg,48.8786,2.3397,France
50,streetview50_0.jpg,48.8936,2.3732,France
51,streetview51_90.jpg,48.836,2.3063,France
52,streetview52_180.jpg,48.868,2.2919,France
53,streetview53_0.jpg,48.8385,2.3986,France
54,streetview54_90.jpg,48.833,2.3619,France
55,streetview55_270.jpg,48.8393,2.3208,France
56,streetview56_90.jpg,48.8434,2.3241,France
57,streetview57_90.jpg,48.8345,2.334,France
58,streetview58_180.jpg,48.8345,2.2957,France
59,streetview59_180.jpg,48.8559,2.4074,France
60,streetview60_180.jpg,48.8319,2.3048,France
61,streetview61_90.jpg,48.8595,2.3762,France
62,streetview62_270.jpg,48.8713,2.3581,France
63,streetview63_180.jpg,48.8935,2.3725,France
64,streetview64_270.jpg,48.8189,2.3302,France
65,streetview65_270.jpg,48.8847,2.3465,France
66,streetview66_0.jpg,48.8825,2.2987,France
